moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,HUOM,kuva nähtävänä
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila, tai teeman aloitus/lopetus","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,"Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)",vain mediamoduuleilla,harmaa tausta = jätä tyhjäksi,
Teeman aloituskuva,schedule,f5c5fd20-34f9-4ff8-bdba-666bbf1740ce,,,start,Tervetuloa!,"Hienoa, että lahjoitat puhettasi.",Nyt muistellaan vuoden 2020 kevättä: Koronavirus laittoi maailman sekaisin. Rajoitukset olivat Suomessakin tiukkoja.,39-6743305eba9bc146d72,,,,,
Lahjoita 1/6,item,245bc03d-a5b4-4cab-8c42-05df42fdb499,media,image,,Harjoitellaan ensin!,"Paina Äänitä-nappia ja kerro, kuinka usein pesit keväällä käsiäsi – entä nyt?",,39-6743335eba9bc4094b0,,,TRUE,,
,state,,,,recording,Lahjoitus käynnissä,Juttele rennosti puhekielellä. Tauot ja takeltelu ovat sallittuja!,"Kun olet valmis, paina Lopeta äänitys.",39-6743575eba9e82dd3c3,,,,,
,state,,,,finish,"Kiitos, hyvin meni!",Kohta jatketaan.,Pikku juttu ensin: Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. Tietosuojasta voit lukea lisää aloitussivulta.,39-6787585ec4df7206a0b,,,,,
Lahjoita 2/6,item,a3c758d7-6fc5-4f71-9fce-4c8684ebb8a0,media,image,,Tavallinen päiväni,"Muistele seuraavaksi, millainen oli tavallinen arkipäiväsi poikkeusaikana.","Kerro, lähditkö töihin vai teitkö töitä tai opiskelit kotoa käsin? ",39-6743325eba9bc3ccba6,,,TRUE,Katja muokkasi body2:a 27.5.20,
,state,,,,recording,Tavallinen päiväni,"Kerro myös, vaikuttiko kriisi työtilanteeseesi tai talouteesi. ",Kuvaile vapaasti.,39-6743325eba9bc3ccba6,,,,Katja muokkasi bodyja 27.5.20,
,state,,,,finish,Kiitos!,Jatketaan!,,39-6743325eba9bc3ccba6,,,,,
Lahjoita 3/6,item,8871f112-5c8f-4083-89f5-c42b4525d55b,media,image,,Tätä kaipasin,Mitä asioita kaipasit rajoitustoimien aikana eniten? Kerro yksi tai useampi.,Voit miettiä rauhassa ennen äänitystä.,39-6743295eba9bc0076a9,,,TRUE,,
,state,,,,recording,Tätä kaipasin,"Kerro myös, oletko saanut toteuttaa näitä asioita, kun rajoituksia on höllennetty.",,39-6743295eba9bc0076a9,,,,Katja vaihtoi kuvan urlin 26.5.20,
,state,,,,finish,Kiitokset taas!,Sitten eteenpäin.,,39-6743415eba9bf54355c,,,,,
Auta tutkijaa,item,ce542a65-912f-4cda-841d-0fb7ce59cf9b,media,image,,Murretaustani,"Meidän kaikkien puheessa kuuluu oma tausta tai murre. On tärkeää, että tähän puhepankkiin kertyy aivan kaikenlaista suomea.",Kysymme nyt yhtä taustatietoa tutkijoille:,39-6780835ec286469a1be,,,FALSE,,
Auta tutkijaa,item,6ef34957-41e7-487e-aa0c-a40c93ed9251,prompt,choice,,Murretaustani,"Valitse yltä maakunta tai alue, joka on eniten vaikuttanut sinun tapaasi puhua.",,39-6780835ec286469a1be,,,,Katja muokkasi bodyja 25.5.20. Katja poisti body2:n 1.6.20,
Auta tutkijaa,item,8391fc02-7dca-44c7-aaaf-33f154d65030,media,image,,Kiitos!,Murteiden ja erilaisten puhetapojen säilyminen on tärkeää.,"Huomasithan, että näet jo lahjoittamasi puheajan ylälaidasta?",39-6780835ec286469a1be,,,FALSE,,
Lahjoita 4/6,item,1a139b75-8ca7-4283-b2e4-15ca53de0b26,media,image,,Muutokset,"Pohdi seuraavaksi, toiko koronavirus muutoksia suunnitelmiisi.",Jäikö sinulta juhlat tai matka väliin?,39-6743435eba9bf7406a6,,,TRUE,Katja muokkasi body2:a 27.5.20,
,state,,,,recording,Muutokset,"Kerro siitäkin, jos elämäsi ei epidemian takia muuttunutkaan valtavasti.",,39-6743435eba9bf7406a6,,,,,
,state,,,,finish,Kiinnostavaa.,Jatketaan kohta. Sitä ennen voit vielä kerran auttaa tutkijoita.,Kysymme sinulta kolmea pientä taustatietoa. Niistä ei voi päätellä henkilöllisyyttäsi.,39-6743435eba9bf7406a6,,,,,
Auta tutkijaa,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,Valitse valikosta ikäryhmäsi.,,39-6780905ec2876c0f863,,,,Katja muokkasi body1:ä 25.5.20,
Auta tutkijaa,item,8bbb8e5d-56a2-4082-9429-233ff2a5e53f,prompt,choice,,Sukupuoleni,,,39-6780915ec2876cc2128,,,,,
Auta tutkijaa,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,,Katja muokkasi bodyja 25.5.20 ja 28.5.20,
Auta tutkijaa,item,9df0474e-0c1b-4ca5-9f86-747da03b3016,media,image,,Tutkijat kiittävät!,"Mukavaa, jos vastasit taustatietoihin. Tutkijat ja suomen kieli kiittävät.",Mennään taas eteenpäin.,39-6780895ec2876bc6b15,,,FALSE,,
Lahjoita 5/6,item,1587885a7-1e6f-421e-8f2d-b4f93bbf8239,media,image,,Hyvät asiat,"Kukaan ei jää kaipaamaan Covid-19 -virusta tai talouskriisiä, mutta erikoisessa ajassa oli jotain hyvääkin.",Toiko korona-aika elämääsi positiivisia asioita?,39-6743385eba9bee5e9a8,,,TRUE,Katja muokkasi body2:a 27.5.20,
,state,,,,recording,Hyvät asiat,,,39-6743355eba9bc4349dd,,,,Katja poisti body1:n 27.5.20,
,state,,,,finish,Kiitos!,Korona-aika irrottelee sinun kielenkantojasi mukavasti.,Vielä yksi aihe. Kohta saat filosofoida sielun täydeltä!,39-6743355eba9bc4349dd,,,,,
Lahjoita 6/6,item,37311b27-086d-4cfa-91c8-6cc174af5560,media,image,,Mitä opimme?,Mitä ihmiskunta tulee mielestäsi oppimaan tästä pandemiasta?,,39-6743455eba9bf8a75e9,,,TRUE,,
,state,,,,recording,Mitä opimme?,,,39-6743425eba9bf556451,,,,Katja poisti body1:n 27.5.20,
,state,,,,finish,Tärkeitä asioita!,Kiitos.,Korona-ajasta kertomalla autoit suomen kieltä.,39-6787575ec4df715b38f,,,,,
Kaverit mukaan,schedule,f5c5fd20-34f9-4ff8-bdba-666bbf1740ce,,,finish,Kiitos vielä kerran!,"Annoit oman panoksesi siihen, että arki ja asiointi suomeksi puhumalla helpottuvat.",Haasta myös ystäväsi lahjoittamaan puhetta! Tai lahjoita itse lisää.,39-6743445eba9bf7507bd,,,,"Kiinteä viimeinen sivu (kaikissa teemoissa sama teksti) / Jere sanoo: tekstit tulevat teeman finish-tilasta, tai jos niitä ei ole, niin oletustekstit. Mukana Lahjoita lisää -nappi ja somejakonapit (web), tai mobiilissa Kutsu kaveri (josta aukeaa share sheet) sekä Lahjoita lisää -nappi.
Katja: Eikö tähän ollut tarkoitus tulla myös se kokonaisaika (jos lahjoittanut yli 2 min.)??? Joka tulisi myös somejakotekstiin??",
teemanvalinta-sivun pikkukuva,theme,b93513ac-3385-4b92-a238-8406f644916b,,,,,,,39-6759335ebd22debdaef,,,,Katja vaihtoi kuvan urlin 25.5. ja taas 28.5. / ja paluu alkuperäiseen kuvaan 3.6.20,
jakoteksti,,,,,,,,,,,,,Halutaanko / tarvitaanko tähn mukaan viittaus teemaan: Lahjoitin puhettani sukeltamalla kesätunnelmiin / uppoutumalla urheiluhetkiin / kertomalla korona-ajasta / juttelemalla eläinystävistämme / kertomalla lähelläni olevista asioista,